numeric_time,Temperature (C)
523200.00000000006,-262.1246053331876
523320.00000000006,-262.1257336934984
523440.00000000006,-262.12686530153803
523560.00000000006,-262.1279928525293
523680.00000000006,-262.1291284856358
523800.00000000006,-262.1302478957747
524040.00000000006,-262.1313845937524
524160.00000000006,-262.13250688862433
524280.00000000006,-262.1336396993896
524400.0,-262.1347728398637
524520.0,-262.13589095287136
524640.0,-262.1370259861909
524760.0,-262.138149050577
524880.0,-262.13927837181626
525000.0,-262.1403975921403
525120.0,-262.141522558258
525240.0,-262.1426387967782
525480.0,-262.1437546374502
525600.0,-262.1448658825126
525720.0,-262.1459843391484
525840.0,-262.14709363739786
525960.0,-262.1482074941568
526080.0,-262.14933229554106
526200.0,-262.1504494883293
526320.0,-262.1515670464636
526440.0,-262.1526862397166
526560.0,-262.15380469492726
526680.0,-262.1549168022848
526920.0,-262.156020872916
527040.0,-262.15713482910627
527160.0,-262.1582507221585
527280.0,-262.1593668806262
527400.0,-262.1604788861044
527520.0,-262.1615983117899
527640.0,-262.16270067537124
527760.0,-262.1638119945918
527880.0,-262.16492066496807
528000.0,-262.16603343906826
528120.0,-262.1671373919324
528360.0,-262.1682517559269
528480.0,-262.16936863205865
528600.0,-262.1704766844453
528720.0,-262.17157333803925
528840.0,-262.1726693159232
528960.0,-262.1737759455779
529080.0,-262.17487349673274
529200.0,-262.1759766240036
529320.0,-262.1770732566024
529440.0,-262.17817819338484
529560.0,-262.1792742613516
529800.0,-262.1803652860028
529920.0,-262.1814694838793
530040.0,-262.1825714418074
530160.0,-262.1836757561304
530280.0,-262.18477271276174
530400.0,-262.1858805059976
530520.0,-262.18697813768904
530640.0,-262.1880790429471
530760.0,-262.1891764928518
530880.0,-262.1902791935144
531120.0,-262.18846824236783
531240.0,-262.1895925507822
531360.0,-262.2266063572934
531480.0,-262.24494369395563
531600.0,-262.2460529343317
531720.0,-262.24717042641765
531840.0,-262.24827392286625
531960.0,-262.24938630069533
532080.0,-262.2677332410576
532200.0,-262.26883528290927
532320.0,-262.28747333209793
532560.0,-262.2885705601709
532680.0,-262.2896784639212
532800.0,-262.29077754095243
532920.0,-262.29189294389863
533040.0,-262.29299347484334
533160.0,-262.29409732156864
533280.0,-262.2952037987194
533400.0,-262.2963133744703
533520.0,-262.297411259023
533640.0,-262.2985063190197
533760.0,-262.2996139108956
534000.0,-262.300707816873
534120.0,-262.3018082361442
534240.0,-262.30291251189607
534360.0,-262.30400737566447
534480.0,-262.3051078369676
534600.0,-262.30621074765
534720.0,-262.30730593456656
534840.0,-262.30839307895934
534960.0,-262.30949812366777
535080.0,-262.3105979194539
535200.0,-262.3116969632729
535440.0,-262.3128051793164
535560.0,-262.3138969511828
535680.0,-262.31499542107355
535800.0,-262.31610390534007
535920.0,-262.3171973578625
536040.0,-262.31828941675667
536160.0,-262.3193845308738
536280.0,-262.3204696318413
536400.0,-262.3215666029668
536520.0,-262.3226713024713
536640.0,-262.32376358179226
536880.0,-262.3248479200233
537000.0,-262.3259421020811
537120.0,-262.32703736019107
537240.0,-262.3281300783455
537360.0,-262.32922271654235
537480.0,-262.3303194234236
537600.0,-262.3314028327007
537720.0,-262.3324979340891
537840.0,-262.33359221384137
537960.0,-262.3346813178844
538080.0,-262.33577995330666
538320.0,-262.3368651858123
538440.0,-262.33794708979406
538560.0,-262.3390387069684
538680.0,-262.3401302991458
538800.0,-262.3412231024859
538920.0,-262.34232323308464
539040.0,-262.3434119577028
539160.0,-262.34450147935485
539280.0,-262.3455899640829
539400.0,-262.3466840066867
539520.0,-262.34777674747073
539760.0,-262.3488692427688
539880.0,-262.34995277034966
540000.0,-262.3510304010286
540120.0,-262.3521064708763
540240.0,-262.353172268286
540360.0,-262.35424600158484
540480.0,-262.3553191758251
540600.0,-262.3563919312396
540720.0,-262.3574496152345
540840.0,-262.3585068694154
541080.0,-262.3595762019578
541200.0,-262.36063824647505
541320.0,-262.36170020260494
541440.0,-262.3627667844309
541560.0,-262.36382893557266
541680.0,-262.3648943144418
541800.0,-262.3659588708297
541920.0,-262.3670180840916
542040.0,-262.3680720789219
542160.0,-262.36913498569703
542280.0,-262.3701921696904
542520.0,-262.3712542223977
542640.0,-262.3723214646489
542760.0,-262.37338129771166
542880.0,-262.3744335733292
543000.0,-262.3754906221337
543120.0,-262.3765512027766
543240.0,-262.3775971258303
543360.0,-262.3786506307274
543480.0,-262.3797058244418
543600.0,-262.38075906716324
543720.0,-262.3818072429101
